nomeEmpresa;nomePregao;titulo;texto;polaridade
BCO BRASIL S.A.;BRASIL;banco brasil empresa an; movimento aberturas capital bolsa pode ser dividido duas fases primeira ate dia abril oito ofertas publicas iniciais ingles initial public offerings ipos vendas acoes empresas ja listadas movimentaram r bilhoes segunda fase partir lancamento acoes bb seguridade empresa controlada banco brasil responsavel atividades seguros previdencia capitalizacao banco partir dessa abertura capital segundo maior ipo historia bolsa ano tornouse significativos vendas acoes movimentando r bilhoes quase soma lancamento bb seguridade caminha rapidamente tornarse maior empresa seguros previdencia capitalizacao pais movimentou r bilhoes reservas investidores triplo oferta diferentemente ocorreu maioria lancamentos ano passado papeis premiaram regiamente comprou lancamento ate fim agosto acoes valorizaramse valor mercado bb seguridade superava r bilhoes fim mes ante r bilhoes proprio bancoa nova empresa bb possui capital ja contribuiu proventos r bilhoes r bilhao primeiro semestre deste ano alem ter engordado resultados banco r bilhoes venda papeis sucesso abertura capital bb seguridade crescimento participacao banco mercado credito diversificacao novos mercados fizeram banco brasil ser escolhido empresa ano melhores dinheiro surgimento companhia marco negocios banco brasil mercado capitais brasileiro diz aldemir bendine presidente banco contramao humor mercado mostramos negocios consistentes nao dependem analises momentaneas economia outro ponto relevante crescimento emprestimos bb ampliou participacao mercado segundo trimestre junho banco expandir carteira emprestimos sempre tende ser movimento arriscado pois tendencia captar primeiro piores clientes concorrencia tomadores emprestimo oferecem maior risco inadimplencia entanto bb vem conseguindo manter indices inadimplencia abaixo media mercado junho ainda devido rescaldo aumento calote anos anteriores inadimplencia media sistema financeiro bb indicador doze meses tarde esforco combinado bancos limpar carteiras comecava dar frutos inadimplencia media sistema havia recuado caso bb queda ainda expressiva mantemos foco carteiras menor risco modelo adotamos ha tempo agora passou balizar atuacao outros grandes bancos caso credito consignado exemplo diz bendine proximos passos alem reforcar participacao credito imobiliario vem crescendo taxa ano sao ampliar concessao emprestimos setor automotivo meio parceria banco votorantim ampliar cooperacao credito consignado raciocinio simples bv financeira promotora vendas votorantim oferece emprestimos compra automoveis ampla rede mil revendedores todos tamanhos espalhados pais nada logico aproveitar capacidade instalada oferecer consignados emprestimos baixo risco sao nova menina olhos sistema financeiro meta bb manter ritmo crescimento sempre buscaremos crescer flexibilizar politica credito caracterizada rigor tecnico postura conservadora diz bendine ha espaco conceder credito dentro niveis projetados ocorra diminuicao qualidade carteir; +
BCO BRADESCO S.A.;BRADESCO;bando armado fuzis leva r mil agencia bancaria apui ;fazendo clientes funcionarios refensnesta segundafeira quadrilha oito homens armados fuzis assaltaram agencia banco bradesco localizada apui municipio quilometros manaus levando quantia estimada policia cerca r mil fazendo refens clientes funcionarios agencia hora fuga ainda tentaram queimar ponte madeira acesso cidade informacoes policiais dao conta volta h oito suspeitos entraram agencia atirando forma intimidar clientes funcionarios subtrairem quantia forcaram pessoas sairem local irem rua servissem barreira humana caso policia atirar contra suspeitos fugiram entao s cor branca placa estado mato grosso levando refens carroceria direcao cidade humaita quilometros capital auxiliar fuga chegaram ponte rio juma pararam tiraram refens carroceria picape liberaram maioria atearam fogo veiculo cima ponta madeira modo fragilizar estrutura impedir perseguicao continu;-
BCO BRADESCO S.A.;BRADESCO;bradesco busca ajuda startups inov; busca solucoes inovadoras tentar acompanhar revolucao digital atinge setor bancario bradesco seguiu tendencia outras grandes empresas vai abrir portas startups segundo maior banco privado brasileiro lanca nesta tercafeira todo pais inovabra programa descobrir projetos inovadores startups possam ser adaptados setor produtos servicos financeiros dez meses duracao sendo quatro meses processo seletivo banco espera selecionar ate dezena empresas estagio inicial durante seis meses desenvolver servico produto inedito mercado integrar tecnologia banco final startups formatarem solucoes sucesso terao premio contrato bradesco entrar mercado ja grande cliente portfolio boa parte startups medo procurar empresa tamanho bradesco porque primeiras perguntas serao sao capacidade execucao precisamos diz diretor vicepresidente bradesco mauricio minas criamos programa pequenas empresas virem aqui fazer produtos conosco vez responder apresentacao power point diz iniciativa marca primeira incursao bradesco inovacao aberta ate hoje todo processo desenvolvimento novas solucoes banco interno queremos sair zona conforto ter opcoes negocio medio longo prazo diz minas banco procura solucoes cinco areas estrategicas meios pagamento canais digitais produtos seguros banco futuro engloba iniciativas possam ser adotadas proximos anos qualquer area banco inscricoes inovabra vao ate dia outubro site inovabracombr fim programa empresas destacarem tambem poderao receber investimento banco fundo private equity bradesco focado negocios medio grande porte demonstrou interesse conhecer empresas selecionadas inovabra avaliar oportunidades investimento eventualmente criar linha startups informacoes sao jornal estado s paul; +
BCO BRADESCO S.A.;BRADESCO;bradesco deve perder r mi investimento b; resgate banco espirito santo bes revelado fim semana ja respingou acionistas chegou brasil dono participacao banco portugues bradesco anunciou tercafeira estima perdas r milhoes lucro terceiro trimestre ontem encontro analistas mercado presidente bradesco luiz carlos trabuco cappi afirmou provisionamento cobre exposicao banco bes boa norma transparencia exigia baixa integral banco brasileiro fara ajuste contabil nao recorrente investimento meio desta operacao trabuco reforcou nao numero relevante balanco instituicao ultimo trimestre lucrou r bilhoes segundo bradesco acompanhou vinha ocorrendo bes ultimos meses agora fez baixa ativo esgota banco brasileiro socio instituicao financeira portuguesa desde novembro duas empresas decidiram estreitar relacionamento bradesco ter comprado bes meio permuta acoes controle banco boavista interatlantico bradesco ainda mantem participacao banco espirito santo investimento besi pais trabuco diz nao ha interesse aumentar fatia nessa unidade confirmou ficara dentro guardachuva bes bom intervencao anunciada noite domingo banco central portugues preve maior instituicao financeira privada pais sera dividida duas ativos bons ficarao novo banco tambem chamado novo bes operacoes problematicas estarao velho bes banco ruim novos gestores tomaram credito bilhoes euros injetar capital bes manter portas abertas prejuizos serao assumidos credores bancoespirito santo acionistas frances credit agricole bes bradesco operadora portugal telecom detem capital banco portugues ha alguns dias levou calote cerca milhoes empresas grupo espirito santo brasil bes r bilhoes ativos conforme demonstracoes financeiras patrimonio liquido banco r milhoes fim dezembro ano passado bes investimento brasil registrou lucro liquido r milhoes alta ante indice basileia banco acima minimo exigido banco central brasileiro indicador mede quanto banco pode emprestar comprometer capital nota banco reforcou subsidiarias brasil fazem parte novo banco estrutura organizacional nao sera alterada forte ontem vitor bento presidente banco espirito santo nomeado continuar frente chamado novo banco disse resgate torna instituicao forte segura antes incertezas ameacavam instituicao ultimos tempos afastadas afirmou executivo carta publicana site bes expresidente banco tambem manifestou nota ricardo espirito santo salgado disse aguarda analise contas instituicao dar versao sobre crise intervencao deu folego bolsa lisboa encerrou alta acoes bes cairam sextafeira operacoes suspensas nao negociadas informacoes sao jornal estado s paul;-
BCO SOFISA S.A.;SOFISA;banco sofisa alta lucro segundo trimestr; banco sofisa sdsa banco multiplo especializado concessao credito empresas pequeno medio porte alta lucro liquido segundo trimestre ganhos passaram r milhoes ano passado r milhoes primeiro semestre lucro r milhoes carteira credito segmento empresas subiu relacao primeiro trimestre relacao segundo trimestre influenciado cenario acentuada desaceleracao segmento industrial carteira total seguiu impactada carteira segmento varejo atingiu valor r milhoes reducao comparacao anual credito empresas atingiu r bilhao representando total carteira credito segundo trimestre alta excluindo financiamentos adquiridos carteira subiu relacao primeiro trimestre relacao segundo trimestre ano pass; +
HOTEIS OTHON S.A.;HOTEIS OTHON;hoteis othon crescem receita liquida semestr; rede hoteis othon acaba anunciar resultados primeiro semestre destaque periodo crescimento ebitda relacao ano anterior margem alem disso ebitda primeiro semestre valores absolutos maior valor todo ano margem outro grande resultado periodo aumento lucro liquido ja receita liquida atingiu marca superior registrada periodo ano passado diaria media subiu outro excelente resultado consolida continuo crescimento apresentado rede ultimos anos resultado primeiro semestre ano marcado efeitos positivos copa mundo longo evento hoteis garantiram taxas ocupacao proximas expressivo crescimento diaria media ressalta fernando chabert diretor superintendente rede hoteis othon cinco unidades operacao estado sao paulo rede comeca operar proximos meses hotel desta vez matao sp aporte r milhoes mesmos investidores hotel othon suites araraquara total apartamentos empreendimento atendera sobretudo publico corporativo infraestrutura inclui tres salas reuniao restaurante centro fitness meta alguns anos ultrapassar marca hoteis administrados tambem primeiro semestre rede hoteis othon finalizou grande investimento r milhoes modernizacao tres unidades grupo rio othon palace belo horizonte othon palace bahia othon palace maio belo horizonte othon palace inaugurou novo lobby area exclusiva recepcao othon business modernizacao apartamentos areas evento areas sociais investimentos superiores r milho; +
HOTEIS OTHON S.A.;HOTEIS OTHON;rede othon vai administrar hotel matao sp; proximos meses rede hoteis othon continuara investindo projeto administracao hoteis cinco unidades operacao estado sao paulo rede comeca operar proximos meses hotel desta vez matao aporte r milhoes mesmos investidores hotel othon suites araraquara total apartamentos empreendimento atendera sobretudo publico corporativo hotel tera tres salas reuniao meta rede alguns anos ultrapassar marca hoteis administrados recentemente rede othon finalizou grande investimento r milhoes modernizacao tres unidades rio othon palace belo horizonte othon palace bahia othon palace maio belo horizonte othon palace inaugurou novo lobby area exclusiva recepcao othon business modernizacao apartamentos areas evento areas sociais investimentos superiores r milho; +
PROFARMA DISTRIB PROD FARMACEUTICOS S.A.;PROFARMA;receita bruta consolidada profarma atinge r bi t; profarma divulgou ontem agosto resultados referentes segundo trimestre t receita bruta consolidada alcancou r bilhao praticamente linha trimestre anterior acima registrado t margem ebitda consolidada profarma permaneceu estavel torno cenario desafiador t contou reducao numero dias uteis aumento medio medicamentos pp menor verificado marco final junho companhia concluiu processo aumento capital associacao estrategica amerisourcebergen passou fazer parte capital social profarma participacao aumento capital proporcionou ingresso r milhoes tais recursos possibilitarao novas acoes estrategia crescimento alem melhorar estrutura capital potencial economia cerca r milhoesano despesas financeiras max fischer cfo diretor ri t marca inicio nova fase companhia apos conclusao associacao estrategica amerisourcebergen reforcamos posicionamento mercado farmaceutico pais diversificado passando participar segmentos maior potencialidade crescimento maiores taxas retorno especialidades varejo tambem adequamos estrutura capital ingresso r milhoes permitira concentrar esforcos estrategia crescimento afirma max divisao distribuicao farma segmento original atuacao permanece sendo principal negocio companhia destaque reducao despesas operacionais cuja participacao receita liquida passou t t reducao receita periodo vendas clientes medios independentes cresceram relacao t trimestre contou reducao numero dias uteis periodo comparacao profarma obteve reducao dias ciclo caixa divisao especialidades apresentou aumento vendas varejo categoria oncologicos comparacao t totalizando receita bruta r milhoes t conclusao associacao estrategica amerisoucerbergen divisao recebeu aporte r milhoes ja divisao varejo t registrouse crescimento vendas drogasmil farmalife aumento vendas mesmas lojas sss venda media lojames respectivamente comparacao t periodo comparacao rede tamoio evolucao vendas aumento vendas mesmas lojas divisao ainda contou melhoria ebitda drogasmil farmalife tamoio ante trimestre anterior; +
PROFARMA DISTRIB PROD FARMACEUTICOS S.A.;PROFARMA;profarma lucro recua trimestre r milho; profarma distribuidora produtos farmaceuticos lucro r milhoes segundo trimestre deste ano queda sobre ganho r milhoes apurado igual periodo dado referese resultado liquido atribuido socios controladores empresa apurou receita liquida r milhoes periodo abril junho deste ano recuo sobre r milhoes igual intervalo ano passado custos bens servicos vendidos somaram r milhoes segundo trimestre deste ano r milhoes igual periodo reducao resultado antes resultado financeiro tributos ebita ficou r milhoes segundo trimestre deste ano ante r milhoes igual periodo recuo dados comunicados nesta quintafeira comissao valores mobiliarios cvm; +
PROFARMA DISTRIB PROD FARMACEUTICOS S.A.;PROFARMA;profarma receita bruta r bilhao t; profarma divulgou nesta quintafeira resultados referentes segundo trimestre t receita bruta consolidada alcancou r bilhao praticamente linha trimestre anterior acima registrado t margem ebitda consolidada profarma permaneceu estavel torno cenario desafiador t contou reducao numero dias uteis aumento medio medicamentos pp menor verificado marco final junho companhia concluiu processo aumento capital associacao estrategica amerisourcebergen passou fazer parte capital social profarma participacao aumento capital proporcionou ingresso r milhoes tais recursos possibilitarao novas acoes estrategia crescimento alem melhorar estrutura capital potencial economia cerca r milhoesano despesas financeiras max fischer cfo diretor ri t marca inicio nova fase companhia apos conclusao associacao estrategica amerisourcebergen reforcamos posicionamento mercado farmaceutico pais diversificado passando participar segmentos maior potencialidade crescimento maiores taxas retorno especialidades varejo tambem adequamos estrutura capital ingresso r milhoes permitira concentrar esforcos estrategia crescimento afirma max divisao distribuicao farma segmento original atuacao permanece sendo principal negocio companhia destaque reducao despesas operacionais cuja participacao receita liquida passou t t reducao receita periodo vendas clientes medios independentes cresceram relacao t trimestre contou reducao numero dias uteis periodo comparacao profarma obteve reducao dias ciclo caixa divisao especialidades apresentou aumento vendas varejo categoria oncologicos comparacao t totalizando receita bruta r milhoes t conclusao associacao estrategica amerisoucerbergen divisao recebeu aporte r milhoes ja divisao varejo t registrouse crescimento vendas drogasmil farmalife aumento vendas mesmas lojas sss venda media lojames respectivamente comparacao t periodo comparacao rede tamoio evolucao vendas aumento vendas mesmas lojas divisao ainda contou melhoria ebitda drogasmil farmalife tamoio ante trimestre anterior; +
BCO BRADESCO S.A.;BRADESCO;bradesco ranking mundial marcas bancos vali;dois bancos brasileiros aparecem ranking marcas valiosas setor mundo marca avaliada us bilhoes bradesco ocupa posicao lista feita brand finance parceria revista inglesa the banker itau posicao us bilhoes acordo ceo brand finance america latina gilson nunes preocupacao bradesco aumentar indicadores eficiencia controle inadimplencia qualidade carteira credito fatores contribuiram manutencao lideranca america latina lideranca ranking wells fargo eua cuja marca avaliada us bi vicelideranca britanico hsbc avaliado us bilhoes completam top bank of america estados unidos us bi citi us bi chase estados unidos us bi alem bradesco itau outros brasileiros estao lista marcas bancos valiosas mundo banco brasil surge posicao us bilhoes outras instituicoes brasileiras ranking sao caixa colocacao us bilhoes safra us milhoes banrisul us milhoes banco nordeste us milhoes brb us milhoes banco panamericano us milhoes brasil somou total us bilhoes valor marca coloca oitava posicao ranking paises bancos valiosos mundono topo eua bancos total us bilhoes valor marca seguido china us bi reino unido us bi japao us b;+
BCO BRADESCO S.A.;BRADESCO;agencia explodida quinta vez ano sorocaba ;bandidos armados explodiram dois caixas eletronicos agencia bradesco madrugada desta quartafeira bairro brigadeiro tobias sorocaba quinto ataque mesma agencia desde inicio deste ano estrutura predio havia sido reformada apos ultima explosao junho voltou ser danificada estilhacos partes caixas arremessados meio avenida bandeirantes principal bairroo bando levou dinheiro caixas deixando tras cerca r mil cedulas ficaram espalhadas chao acordo testemunhas ouvidas policia militar fuga bandidos fizeram varios disparos armas fogo ninguem ficou ferido quantia roubada nao informada criminosos nao sido localizados ate inicio tardea agencia havia sido atacada uso explosivos tambem meses fevereiro abril maio pm informou ja ter reforcado seguranca bairro segundo secretaria seguranca publica ssp janeiro junho ocorreram roubos bancos estado numero inferior registrados periodo ano pass;-
BCO BRADESCO S.A.;BRADESCO; bradesco libera r bilhoes pequena media empresa economia ; bradesco anuncia nesta segundafeira liberacao r bilhoes pequenas medias empresas pmes formacao estoque capital giro pagamento salario novas linhas visam segundo altair antonio souza diretor executivo banco dar folego pequeno medio empresario aproveitar maior demanda segundo semestre alem ja tradicionais creditos capital giro pagamento bradesco criou emprestimo formacao estoques linha batizada compor estoque facil possibilidade pagamento primeira parcela somente janeiro taxas iniciam prazo ate meses acordo souza extensao carencia objetivo atender demanda empresarios normalmente nao conseguem tal prazo fornecedores banco manteve meta guidance credito ano alta nao revendo guidance credito porque acreditamos demanda nesta epoca maior cerca base pessoas juridica pequenas medias empresas acreditamos demanda vai suprir r bilhoes vamos ficar guidance afirmou souza entrevista exclusiva servico informacoes tempo real agencia estado linhas anunciadas hoje conforme sao tanto varejo setores industria caso voltada reforco capital giro foco bradesco sao pequenas empresas faturam ate r milhoes ano recursos podem ser usados qualquer finalidade souza lembra ha cadeia produtiva torno eleicoes envolve empresas midia graficas outras tambem sao publicoalvo linhas queremos estimular economia brasileira novas linhas apoiando segmento fundamental atividade comercial principalmente vendas final ano acrescenta souza credito capital giro segundo limitado ate r mil cliente prazo ate meses demais linhas nao ha limite segundo souza caso antecipacao salario prazo ate meses taxa inicial tanto linha capital giro carencia dias pagamento primeira parcelab salariob diretor executivo bradesco diz instituicao espera bom crescimento linha antecipacao salario ano passado acordo crescimento montante liberado chegou r bilhoes dificil prever vamos manter ritmo crescimento nesta linha ano passado crescimento ate surpreendeu pode ser sim esperamos bom crescimento sobre diz executivo revelar numeros r bilhoes anunciados hoje sao liberacao recursos adicional r bilhoes banco possui disponivel pequenas medias empresas faturamento anual ate r milhoes acordo souza durante teleconferencia imprensa analistas executivos banco comentaram apenas desse montante havia sido utilizadoas micro pequenas medias empresas representaram carteira credito bradesco segundo trimestre r bilhoes emprestimos segmento recuaram periodo ante primeiro trimestre r bilhoes ano porem visto aumento inadimplencia nesse publico subiu segundo trimestre consecutivo passando marco junh;+
BCO BRADESCO S.A.;BRADESCO;bradesco busca ajuda startups inovar start link estadaocombr ; busca solucoes inovadoras tentar acompanhar revolucao digital atinge setor bancario bradesco seguiu tendencia outras grandes empresas vai abrir portas startups segundo maior banco privado brasileiro lanca hoje todo pais programa descobrir projetos inovadores startups possam ser adaptados setor produtos servicos financeiros dez meses duracao sendo quatro meses processo seletivo banco espera selecionar ate dezena empresas estagio inicial longo seis meses desenvolver servico produto inedito mercado integrar tecnologia banco final startups formatarem solucoes sucesso terao premio contrato bradesco entrar mercado ja grande cliente portfolio boa parte startups medo procurar empresa tamanho bradesco porque primeiras perguntas serao sao capacidade execucao precisamos diz diretor vicepresidente bradesco mauricio minas criamos programa pequenas empresas virem aqui fazer produtos conosco vez responder apresentacao power point diz hoje ate outubro banco aceitara site donbsp inscricoes empresas estagio inicial desenvolvendo produto ainda nao entrado mercado dentre inscritas serao selecionadas empresas passarao processo imersao conhecer banco serao avaliadas quesitos qualificacao equipe potencial geracao valor capacidade entrega potencial inovacao mensuracao risco vinte serao aprovadas etapa avaliacao grupo executivos banco dessas cerca dez efetivamente seguirao fase concepcao projeto dentro bancoa iniciativa marca primeira incursao bradesco inovacao aberta ate hoje todo processo desenvolvimento novas solucoes banco interno ha dois tres anos paramos questionar modelo inovacao eficiente estruturamos processos metodologias inovacao fechada cada vez digitais precisavamos conceito ruptura achamos talvez inovacao fechada nao suficiente gente diz minas busca ideias caixa banco decidiu recorrer startups nbspqueremos sair zona conforto ter opcoes negocio medio longo prazo diz minas ideia trabalhar startups veio apos pesquisa sobre inovacao sendo realizada mercados americano europeu minas diz ter constatado brasil ainda nao existe valorizacao correta inovacao grande dificuldade startups nao ter bom produto modelo negocio tambem nao financeira porque ha pessoas dispostas dar dinheiro empresas grande problema grande barreira entrada empresas vao sobreviver ate achar grande mercado diz grande mercado bradesco oferecer startups escolhidas programa vez dar financiamento empreendedores toquem projetos bradesco quer trabalhar junto desenvolvimento produtos oferecer si premio final banco procura solucoes cinco areas estrategicas meios pagamento canais digitais produtos seguros banco futuro engloba iniciativas possam ser adotadas proximos anos qualquer area banco durante seis meses desenvolvimento integracao produto banco startups deverao dedicar exclusivamente bradesco podendo final ir mercado busca outros clientes algo ja mercado nao inovador explica minas nesse periodo profissionais banco vao dar suporte startups desenvolverem tambem modelo negocio meio consultorias negocios fim programa empresas destacarem poderao receber investimento banco nbsp fundo private equity bradesco focado negocios medio grande porte demonstrou interesse conhecer empresas selecionadas inovabra avaliar oportunidades investimento eventualmente criar linha startups;-
BCO BRADESCO S.A.;BRADESCO;bradesco condenado pagar r mil gerente sequestrada serv; gerente geral agencia banco bradesco municipio santa ines km salvador sequestrada transportava valores sera indenizada r mil banco decisao tomada tribunal superior trabalho tst dia agosto entendeu profissional exposta riscos levar dinheiro agencias veiculo proprio cabe recurso parecer favoravel gerente relatado ministro lelio bentes correa primeira turma tst magistrado entendeu instituicao bancaria confrontou lei determina contratacao pessoal especializado desempenhar transporte valores correa considerou acao exige pagamentos danos morais tst afirmou gerente bancaria descreveu depoimento habitualmente desviada funcao obrigada transportar dinheiro proprio carro taxis agencias diferentes cidades estado alguns municipios destino citados estariam quilometros santa ines ocasioes gerente relatou depoimento vitima assalto mao armada seguido sequestrorelampago ficado cerca minutos maos assaltante segundo parecer tst gerente pediu indenizacao danos morais afirmando apos trauma passou sofrer transtornos psicologicos perturbacao mental alem fazer uso habitual remedios prescricao controlada tst disse empresa bradesco sa sustentou defesa transporte valores feito carro forte raras vezes empregado tesouraria jamais gerente geral agencia entretanto ainda segundo tst realizacao transporte dinheiro gerente ficou confirmada meio testemunhas processo origem julgado inicialmente tribunal regional trabalho regiao ba acordo tst tribunal regional considerou acao improcedente ter considerado gerente nao obrigada realizar transporte banco ser considerada autoridade maxima dentro agencia poderia mandar outros funcionarios realizar servico ocasiao testemunhas relataram banco motorista acompanhar empregado transporte valores trabalhadora recorreu conseguiu ter pedido atendido relator processo ministro lelio bentes correa fato banco dispor motorista finalidade trabalhadora ser gerente geral nao afasta dever indenizar conduta ilicita empregador fato nao contratar termos lei empresa especializada transporte numerarios sujeitar empregado tal atividade risco afirmou g bradesco informou nao comenta casos estao tramit;-
BCO BRADESCO S.A.;BRADESCO;medicos decidem continuar atender bradesco saud; assembleia realizada noite desta tercafeira sindicato medicos estado bahia sindimed decidiu unanimidade paralisacao atendimento plano bradesco saude continua bahia medicos deixaram aceitar plano junho apos empresa nao ter entrado acordo categoria relacao valores pagos consulta ainda nao ha data definida nova assembleia acordo francisco jorge silva magalhaes presidente sindimed nao sinalizacao bradesco saude termos proposta mantivermos paralisacao atendimentos magalhaes informou proxima segundafeira h audiencia conciliacao marcada sede justica trabalho localizada bairro comercio julho sindimed entrou acao civil publica contra seguradora acordo assessoria sindicato acao interposta medicos cobra recomposicao reajustes longo anos avaliacao categoria plano fez novas adaptacoes valor mensalidades assegurados parte dessa quantia nao passada medicos epoca bradesco saude informou nota operadoras privadas nacionalmente melhor remuneram ato medico assessoria plano tambem disse reajusta anualmente valores consultas procedimentos medicos acima inflacao geral indices reajuste anual mensalidades autorizado agencia nacional saude suplementar ans bradesco saude ainda ressaltou meio nota central atendimento nao registrado problemas estruturais assistencia milhares segurados estado bahia segundo procon durante periodo paralisacao atendimentos orgao agencia nacional saude ans recebido denuncias relacao ma prestacao servicos plano orgao defesa consumidor destaca segurados nao conseguem iniciar dar continuidade procedimentos representa risco iminente vida saude seguranca consumidores medida liminar requerido bradesco saude efetive plano contingenciamento divulgando atraves todos meios comunicacao grande circulacao alem envio carta email segurados contato segurados possam solicitar indicacao medico referenciado faca atendimento plano pedido liminar diz ainda caso nao prestadores referenciados localidade segurado bradesco saude deve garantir consumidor optar realizacao servico forma particular sendo obrigado reembolso forma integralcaso segurado nao disponha valor necessario pagamento servico pode solicitar bradesco saude indique local atendimento rede nao referenciada devendo plano arcar custos procedimentos sob multa diaria r mil descumprimento limin;-
BCO BRADESCO S.A.;BRADESCO;grupo explode caixas eletronicos bradesco altamira maranha; quadrilha explodiu dois caixas eletronicos posto atendimento bradesco volta h desta quartafeira altamira maranhao regiao oeste estadosegundo informacoes policia quatro homens armados chegaram duas motocicletas explodiram dois caixas eletronicos segundo moradores area explosoes abalaram estrutura predio chegou ter telhado destruidoa policia chegou rapidamente local trocou tiros quadrilha fugiu motocicletas rodovia ma direcao cidade santa luzia quantia dinheiro roubada nao informadae segunda vez posto explodido assaltantes primeira aconteceu dezembro ano pass;-
BCO BRADESCO S.A.;BRADESCO;veja noticia venda santander bradesc; bancos negam unit dispara infomoney sao paulo vejacom portal revista veja noticiou venda santander brasil bradesco nesta quartafeira retirou informacao ar pedido ambos bancos poucos minutos apos publicacao original santander negou informacao dizendo incabivel inventada proprio veiculo alguma fonte malintencionada acordo materia original funcionarios santander haviam recebido email firmando venda ocorreria ja semestrenbspde acordo assessoria imprensa santander email citado materia falso nunca existiunbspa suposta mentira porem colou mercado units santander dispararam afterhours alta maximo possivel fechando r papeis movimentaram r milhoes periodo posnegociacao valor alto horario sanb geralmente movimenta cerca r milo bradesco tambem negou informacao atraves assessoria imprensa desmentindo categoricamente informacao especulacao negociacao dois bancos longa acreditase santander estaria interessado vender ativos salvar operacao espanha enquanto bradesco estaria interessado aumentar presenca terreno nacionalnbsp;-
BCO BRADESCO S.A.;BRADESCO;herdeiras fundador bradesco perdem acao r bi just;duas filhas banqueiro fundador bradesco amador aguiar perderam acao bilionaria justica caso considerado maior processo heranca pais informacoes sao valor economico segundo corte especial superior tribunal justica stj lia lina maria aguiar nao direito receber titulo heranca recursos poderiam chegar acoes ordinarias banco avaliadas r bilhoes segundo forbes lina lia aguiar estao pessoas ricas pais fortunas avaliadas r bilhoes r bilhoes respectivamente decisao judicial tomada final mes passado porem segundo advogado herdeiras irao entrar recurso tentar reverter decisao briga justica ja dura duas decadas segundo valor filhas aguiar entraram justica apos morte pai obter valores acoes fundacao bradesco rediscussao heranca deixada pa;-
BCO BRADESCO S.A.;BRADESCO;lucro bradesco sobe atinge r bilhoes trimestr; reducao inadimplencia bradesco iniciou lucro liquido r bilhoes janeiro marco crescimento relacao periodo ano anteriorem bases recorrentes exclui ganhos perdas extraordinarios lucro segundo maior banco privado pais r bilhoes retorno anualizado sobre patrimonio liquido roae medida rentabilidade subiu fim primeiro trimestre marco deste ano segundo bradesco cenario continua desafiador processo reducao estimulos monetarios parte banco central norteamericano desaceleracao economia chinesa geram desafios paises emergentes cita relatorio banco nesse sentido acoes positivas procurem diferenciar brasil outras nacoes devem ser vistas favoravelmente reforco compromisso fiscal continuidade combate inflacao estao acoes constituem condicao necessaria crescimento economico pais acrescenta ;+
BCO BRADESCO S.A.;BRADESCO;bradesco saude acionado ministerio publ; ministerio publico estadual proconba defensoria publica estado bahia ajuizaram acao civil publica contra operadora plano assistencia saude bradesco saude acao orgaos pedem medida liminar operadora divulgue imediatamente linha telefonica segurados todos meios comunicacao grande circulacao bem meio comunicacao pessoal email carta registrada meio deste numero telefone operadora devera indicar prestador referenciado consumidores nao conseguirem atendimento medico local residencia exames consultas proced;-
BCO BRADESCO S.A.;BRADESCO;atendimento bradesco saude segue suspenso ; sindicato medicos bahia sindmed realiza nesta quartafeira h assembleia associacao medicos bahia abm tratar recusa bradesco saude negociar propostas apresentadas categoria audiencia mediada ministerio publico trabalho ultimo dia presidente sindmed francisco magalhaes afirmou medicos todas especialidades vao decidir sobre continuidade boicote bradesco saude iniciado junho ultimo tempo ministerio publico estadual superintendencia protecao defesa consumidor proconba defensoria publica estado bahia aguardam decisao justica sobre acao civil publica ajuizada contra operadora acao orgaos pedem medida liminar operadora divulgue linha telefonica todos meios comunicacao grande circulacao atraves desta segurado podera receber indicacao prestador referenciado caso nao consiga atendimento acao operadora podera ser obrigada pagar multa r milhoes razao danos causados coletividade segurados meio disputa segurados enfrentam varias dificuldades dona casa maria auxiliadora rocha menezes anos internada hospital sagrada familia ser atendida outra unidade medica sintomas enfarte estabilizada submetida varios exames orientacao cardiologista atendeu realizacao cateterismo suspeita bloqueio veia transferida sagrada familia domingo internada uti segundo barbara eliodora irma maria ultima segundafeira familia recebeu informacao hospital bradesco recusou pagamento honorarios medicos profissional iria fazer cateterismo bradesco relacao caso maria auxiliadora bradesco saude informou caso encaminhado diretoria atendimento estara tomando providencias ainda hoje procedimento realizado sobre acao civil publica informa ainda nao notificada nao podendo portanto manifestarse seguradora assegura vem buscando encontrar solucoes atendam interesses segmentos envolvidos bahia seguradora reitera central atendimento atende ininterruptamente capitais demais localidades capacitada orientar segurados inclusive direcionandoos outro especialista caso dificuldade atendimento bradesco saude informa segurados podem obter reembolso procedimentos realizados rede referenciada acordo valores estabelecidos contratualmente conforme normas agencia nacional saude suplementar bradesco saude informou ainda reajusta anualmente valores consultas honorarios medicos maioria vezes acima indices gerais precos reajuste mensalidades autorizados ans;-
